     -20.937            0
    -20.8364            0
    -20.7357            0
    -20.6351            0
    -20.5345            0
    -20.4339            0
    -20.3332            0
    -20.2326            0
     -20.132            0
    -20.0313            0
    -19.9307            0
    -19.8301            0
    -19.7295            0
    -19.6288            0
    -19.5282            0
    -19.4276            0
    -19.3269            0
    -19.2263            0
    -19.1257            0
    -19.0251            0
    -18.9244       1.2168
    -18.8238      57.2949
    -18.7232      99.9263
    -18.6225       34.195
    -18.5219       45.941
    -18.4213       46.148
    -18.3207      31.8657
      -18.22            0
    -18.1194            0
    -18.0188            0
    -17.9181            0
    -17.8175            0
    -17.7169            0
    -17.6163            0
    -17.5156            0
     -17.415            0
    -17.3144            0
    -17.2137            0
    -17.1131            0
    -17.0125            0
    -16.9119            0
    -16.8112            0
    -16.7106            0
      -16.61            0
    -16.5093            0
    -16.4087            0
    -16.3081            0
    -16.2075            0
    -16.1068            0
    -16.0062            0
    -15.9056            0
    -15.8049            0
    -15.7043            0
    -15.6037            0
    -15.5031            0
    -15.4024            0
    -15.3018            0
    -15.2012            0
    -15.1005            0
    -14.9999            0
    -14.8993            0
    -14.7987            0
     -14.698            0
    -14.5974            0
    -14.4968            0
    -14.3961            0
    -14.2955            0
    -14.1949            0
    -14.0943            0
    -13.9936            0
     -13.893            0
    -13.7924            0
    -13.6917            0
    -13.5911            0
    -13.4905            0
    -13.3899            0
    -13.2892            0
    -13.1886            0
     -13.088            0
    -12.9873            0
    -12.8867            0
    -12.7861            0
    -12.6855            0
    -12.5848            0
    -12.4842            0
    -12.3836            0
    -12.2829            0
    -12.1823            0
    -12.0817            0
    -11.9811            0
    -11.8804            0
    -11.7798            0
    -11.6792            0
    -11.5785            0
    -11.4779            0
    -11.3773            0
    -11.2767            0
     -11.176            0
    -11.0754            0
    -10.9748            0
    -10.8741            0
    -10.7735            0
    -10.6729            0
    -10.5723            0
    -10.4716            0
     -10.371            0
    -10.2704            0
    -10.1697            0
    -10.0691            0
    -9.96853            0
    -9.86793            0
    -9.76723            0
    -9.66663            0
    -9.56603            0
    -9.46533            0
    -9.36473            0
    -9.26413            0
    -9.16353            0
    -9.06283            0
    -8.96223            0
    -8.86163            0
    -8.76093            0
    -8.66033            0
    -8.55973            0
    -8.45913            0
    -8.35843            0
    -8.25783            0
    -8.15723            0
    -8.05653            0
    -7.95593            0
    -7.85533            0
    -7.75473            0
    -7.65403            0
    -7.55343            0
    -7.45283            0
    -7.35213            0
    -7.25153            0
    -7.15093            0
    -7.05033            0
    -6.94963            0
    -6.84903      14.4679
    -6.74843      49.6754
    -6.64773      161.573
    -6.54713      90.2513
    -6.44653      51.4566
    -6.34593      19.3499
    -6.24523      18.1301
    -6.14463      13.4103
    -6.04403      30.4618
    -5.94333       34.432
    -5.84273      14.8488
    -5.74213      26.0926
    -5.64153      29.7781
    -5.54083      21.4787
    -5.44023      16.1581
    -5.33963      47.9128
    -5.23893      58.3456
    -5.13833      52.9159
    -5.03773      95.0882
    -4.93713      49.0304
    -4.83643      48.8824
    -4.73583      36.8663
    -4.63523      21.4816
    -4.53453      10.9999
    -4.43393      11.7819
    -4.33333      13.1004
    -4.23273      22.2936
    -4.13203      39.2948
    -4.03143      145.175
    -3.93083      96.5213
    -3.83013       71.131
    -3.72953      54.1077
    -3.62893      120.257
    -3.52833      240.256
    -3.42763      133.648
    -3.32703      152.044
    -3.22643      181.234
    -3.12573      177.366
    -3.02513       113.53
    -2.92453       291.59
    -2.82393      134.036
    -2.72323      26.5642
    -2.62263      30.0265
    -2.52203      50.7969
    -2.42133      67.3463
    -2.32073      30.3201
    -2.22013      115.946
    -2.11953      30.4681
    -2.01883      55.4434
    -1.91823      32.1523
    -1.81763      43.7867
    -1.71693      50.7236
    -1.61633      31.5059
    -1.51573      33.2935
    -1.41513      27.4696
    -1.31443      20.7956
    -1.21383      17.4179
    -1.11323      24.4418
    -1.01253      26.1165
   -0.911929      20.4381
   -0.811329      46.4679
   -0.710729      118.896
   -0.610029       56.665
   -0.509429      44.3287
   -0.408829      40.3258
   -0.308129      16.4756
   -0.207529      11.7458
   -0.106929       5.8934
  -0.0063293            0
   0.0943707       0.1615
    0.194971        0.702
    0.295571       1.3084
    0.396271       1.5395
    0.496871       1.7656
    0.597471       2.1613
    0.698071       2.6105
    0.798771       2.9707
    0.899371       3.9355
    0.999971        4.785
     1.10067       4.6591
     1.20127       4.2247
     1.30187       4.0678
     1.40247       6.3549
     1.50317       7.5142
     1.60377       9.8858
     1.70437      11.1038
     1.80507       8.9352
     1.90567      13.6351
     2.00627      20.8932
     2.10687      28.0694
     2.20757      14.7754
     2.30817      10.4795
     2.40877      11.1231
     2.50947      14.0349
     2.61007      16.3235
     2.71067       32.171
     2.81127        31.93
     2.91197      30.6434
     3.01257       30.817
     3.11317      14.0499
     3.21387       6.9228
     3.31447      14.2939
     3.41507      18.8654
     3.51567      20.5763
     3.61637      38.2604
     3.71697      15.8468
     3.81757       8.4415
     3.91827       7.2767
     4.01887       10.067
     4.11947       8.3874
     4.22007      13.4128
     4.32077      13.0147
     4.42137      12.4644
     4.52197      11.2173
     4.62267      11.9829
     4.72327      11.2633
     4.82387      18.8166
     4.92447       5.5264
     5.02517      14.2623
     5.12577       8.5657
     5.22637       9.5196
     5.32707      19.4168
     5.42767      11.3993
     5.52827      16.3776
     5.62887      17.5683
     5.72957      16.8067
     5.83017      17.2435
     5.93077      17.9591
     6.03147      14.5507
     6.13207      14.1688
     6.23267      14.6009
     6.33327      16.3097
     6.43397      18.0027
     6.53457      14.7471
     6.63517      13.3335
